seed,nodes,topology,loss_rate,flood_repeats,protocol,phy,diameter,edges,proposals,committed,aborted,timed_out,avg_latency,listen,flood,sleep,nacks,piggybacks,ce_timeouts,end_slot
2,54,random,0.05,0,2pc_ce,ce,5,126,100,100,0,0,30.65,98414,67096,0,0,0,677,3065
2,54,random,0.05,0,tom_ce,ce,5,126,100,100,0,0,5.38,20782,8270,0,0,0,3,538
2,54,random,0.1,1,paxos_pipeline,ci,5,126,100,100,0,0,150.05,19208,6854,11954,2,106,0,698
2,54,random,0.1,1,2pc_pipeline,ci,5,126,100,96,4,0,301.40,30590,10896,19102,11,317,0,850
2,54,random,0.1,1,tom_pipeline,ci,5,126,100,100,0,0,5.56,15463,5504,9651,3,2,0,556
2,54,random,0.1,0,paxos_ce,ce,5,126,100,100,0,0,18.01,58125,39129,0,0,0,11,1801
2,54,random,0.1,0,2pc_ce,ce,5,126,100,100,0,0,30.84,99162,67374,0,0,0,434,3084
2,54,random,0.1,0,tom_ce,ce,5,126,100,100,0,0,5.73,22040,8902,0,0,0,4,573
2,54,random,0.2,1,paxos_pipeline,ci,5,126,100,100,0,0,144.80,20888,6781,13749,8,318,0,761
2,54,random,0.2,1,2pc_pipeline,ci,5,126,100,41,59,0,322.83,40858,13262,26124,86,1416,0,906
2,54,random,0.2,1,tom_pipeline,ci,5,126,100,100,0,0,6.34,17892,5813,11773,13,13,0,600
2,54,random,0.2,0,paxos_ce,ce,5,126,100,100,0,0,19.04,62621,40195,0,0,0,216,1904
2,54,random,0.2,0,2pc_ce,ce,5,126,100,100,0,0,33.47,111313,69425,0,0,0,1784,3347
2,54,random,0.2,0,tom_ce,ce,5,126,100,100,0,0,6.66,25372,10592,0,0,0,89,666
2,188,random,0,1,paxos_pipeline,ci,7,411,100,100,0,0,623.20,134108,36472,69308,0,0,0,1270
2,188,random,0,1,2pc_pipeline,ci,7,411,100,100,0,0,1239.00,197797,54144,102815,0,0,0,1880
2,188,random,0,1,tom_pipeline,ci,7,411,100,100,0,0,6.48,67479,18800,35545,0,0,0,648
2,188,random,0,0,paxos_ce,ce,7,411,100,100,0,0,24.75,276643,188657,0,0,0,81,2475
2,188,random,0,0,2pc_ce,ce,7,411,100,100,0,0,42.79,473467,330985,0,0,0,1839,4279
2,188,random,0,0,tom_ce,ce,7,411,100,100,0,0,7.37,99980,38576,0,0,0,76,737
2,188,random,0.05,1,paxos_pipeline,ci,7,411,100,100,0,0,653.83,138757,36463,78016,0,0,0,1341
2,188,random,0.05,1,2pc_pipeline,ci,7,411,100,100,0,0,1311.74,391721,102612,221571,10,1121,0,1984
2,188,random,0.05,1,tom_pipeline,ci,7,411,100,100,0,0,6.85,71385,19174,40853,0,0,0,685
2,188,random,0.05,0,paxos_ce,ce,7,411,100,100,0,0,24.92,280848,187648,0,0,0,540,2492
2,188,random,0.05,0,2pc_ce,ce,7,411,100,100,0,0,43.51,484175,333813,0,0,0,2443,4351
2,188,random,0.05,0,tom_ce,ce,7,411,100,100,0,0,8.49,112366,47246,0,0,0,188,849
2,188,random,0.1,1,paxos_pipeline,ci,7,411,100,100,0,0,559.31,143932,36404,84744,9,1678,0,1403
2,188,random,0.1,1,2pc_pipeline,ci,7,411,100,96,4,0,1376.85,417674,104759,245359,41,3916,0,2096
2,188,random,0.1,1,tom_pipeline,ci,7,411,100,100,0,0,7.14,92127,23639,54374,7,7,0,714
2,188,random,0.1,0,paxos_ce,ce,7,411,100,100,0,0,24.91,282300,186008,0,0,0,601,2491
2,188,random,0.1,0,2pc_ce,ce,7,411,100,100,0,0,44.04,493738,334214,0,0,0,3090,4404
2,188,random,0.1,0,tom_ce,ce,7,411,100,100,0,0,9.24,121355,52357,0,0,0,383,924
2,188,random,0.2,1,paxos_pipeline,ci,7,411,100,100,0,0,300.93,159379,35986,102051,20,3297,0,1575
2,188,random,0.2,1,2pc_pipeline,ci,7,411,100,90,10,0,1524.70,761164,172933,481731,136,14398,0,2328
2,188,random,0.2,1,tom_pipeline,ci,7,411,100,100,0,0,8.38,124654,28151,79563,29,29,0,807
2,188,random,0.2,0,paxos_ce,ce,7,411,100,100,0,0,26.08,300415,189889,0,0,0,1636,2608
2,188,random,0.2,0,2pc_ce,ce,7,411,100,100,0,0,46.48,530264,343560,0,0,0,5738,4648
2,188,random,0.2,0,tom_ce,ce,7,411,100,100,0,0,11.49,150477,65535,0,0,0,2498,1149
3,6,random,0,1,paxos_pipeline,ci,2,14,100,100,0,0,7.00,549,618,273,0,0,0,238
3,6,random,0,1,2pc_pipeline,ci,2,14,100,100,0,0,14.00,565,636,281,0,0,0,245
3,6,random,0,1,tom_pipeline,ci,2,14,100,100,0,0,2.33,533,600,265,0,0,0,233
3,6,random,0,0,paxos_ce,ce,2,14,100,100,0,0,6.89,2275,1859,0,0,0,0,689
3,6,random,0,0,2pc_ce,ce,2,14,100,100,0,0,11.30,3855,2925,0,0,0,81,1130
3,6,random,0,0,tom_ce,ce,2,14,100,100,0,0,2.33,765,633,0,0,0,0,233
3,6,random,0.05,1,paxos_pipeline,ci,2,14,100,100,0,0,7.60,576,618,366,0,0,0,258
3,6,random,0.05,1,2pc_pipeline,ci,2,14,100,100,0,0,14.61,587,636,325,0,0,0,256
3,6,random,0.05,1,tom_pipeline,ci,2,14,100,100,0,0,2.53,560,600,358,0,0,0,253
3,6,random,0.05,0,paxos_ce,ce,2,14,100,100,0,0,6.71,2236,1790,0,0,0,0,671
